barcode	sample	name	condition	dilution	B_replicate	total_reads	total_assembled	assembled(%)	non_virus_reads	percentage_non_virus	HA	MP	NA	NP	NS	PA	PB1	PB2
barcode33	Rambo_3P_E1_2	Rambo_3P_E1	Rambo_3P	E1	2	11067.0	10777.0	97.4	290.0	2.6	1907	2718	1490	1523	1374	764	338	663
barcode34	Rambo_3P_E2_2	Rambo_3P_E2	Rambo_3P	E2	2	11067.0	10817.0	97.7	250.0	2.3	1890	2749	1468	1545	1296	839	368	662
barcode35	Rambo_3P_E3_2	Rambo_3P_E3	Rambo_3P	E3	2	11067.0	10837.0	97.9	230.0	2.1	1896	2659	1605	1532	1272	799	375	699
barcode36	Rambo_3P_E4_2	Rambo_3P_E4	Rambo_3P	E4	2	11067.0	10686.0	96.6	381.0	3.4	1439	2946	1671	1590	1038	836	454	712
barcode37	Rambo_3P_E5_2	Rambo_3P_E5	Rambo_3P	E5	2	11051.0	9744.0	88.2	1307.0	11.8	1430	2790	1443	1446	669	803	467	696
barcode38	Rambo_3P_E6_2	Rambo_3P_E6	Rambo_3P	E6	2	11067.0	6376.0	57.6	4691.0	42.4	649	1173	1555	1447	450	377	296	429
barcode39	Zhou_3P_E5_1	Zhou_3P_E5	Zhou_3P	E5	1	11046.0	10842.0	98.2	204.0	1.8	853	4595	1442	1380	1934	285	101	252
barcode40	Zhou_3P_E5_2	Zhou_3P_E5	Zhou_3P	E5	2	11043.0	10695.0	96.8	348.0	3.2	877	4665	1301	1449	1500	440	183	280
barcode41	Rambo_3P_E1_3	Rambo_3P_E1	Rambo_3P	E1	3	11067.0	10826.0	97.8	241.0	2.2	1952	2740	1461	1430	1487	755	330	671
barcode42	Rambo_3P_E2_3	Rambo_3P_E2	Rambo_3P	E2	3	11067.0	10852.0	98.1	215.0	1.9	1766	2869	1550	1525	1418	747	344	633
barcode43	Rambo_3P_E3_3	Rambo_3P_E3	Rambo_3P	E3	3	11067.0	10847.0	98.0	220.0	2.0	1773	2992	1491	1500	1279	782	385	645
barcode44	Rambo_3P_E4_3	Rambo_3P_E4	Rambo_3P	E4	3	11067.0	10653.0	96.3	414.0	3.7	1772	2818	1546	1484	1014	807	473	739
barcode45	Rambo_3P_E5_3	Rambo_3P_E5	Rambo_3P	E5	3	11033.0	9620.0	87.2	1413.0	12.8	1156	1969	1593	1392	1334	907	525	744
barcode46	Rambo_3P_E6_3	Rambo_3P_E6	Rambo_3P	E6	3	11067.0	8343.0	75.4	2724.0	24.6	320	2759	1621	2082	260	664	226	411
barcode47	Zhou_3P_E6_1	Zhou_3P_E6	Zhou_3P	E6	1	11067.0	10982.0	99.2	85.0	0.8	952	4872	1687	1413	1376	391	101	190
barcode48	Zhou_3P_E6_2	Zhou_3P_E6	Zhou_3P	E6	2	11037.0	10876.0	98.5	161.0	1.5	1340	4182	1371	1292	1984	332	163	212
barcode55	Zhou_3P_E1_3	Zhou_3P_E1	Zhou_3P	E1	3	11038.0	10824.0	98.1	214.0	1.9	914	4214	1545	1709	1397	466	215	364
barcode63	Zhou_3P_E2_3	Zhou_3P_E2	Zhou_3P	E2	3	11060.0	10891.0	98.5	169.0	1.5	941	4523	1350	1633	1454	417	211	362
barcode71	Zhou_3P_E3_3	Zhou_3P_E3	Zhou_3P	E3	3	11067.0	10938.0	98.8	129.0	1.2	831	4806	1367	1651	1472	344	180	287
barcode73	Licheri_5uM_E1_1	Licheri_5uM_E1	Licheri_5uM	E1	1	11067.0	10872.0	98.2	195.0	1.8	894	2381	1461	1610	2915	729	344	538
barcode74	Licheri_5uM_E2_1	Licheri_5uM_E2	Licheri_5uM	E2	1	11067.0	10917.0	98.6	150.0	1.4	906	2330	1552	1695	2870	639	362	563
barcode75	Licheri_5uM_E3_1	Licheri_5uM_E3	Licheri_5uM	E3	1	10995.0	10867.0	98.8	128.0	1.2	887	2325	1608	1729	2627	739	375	577
barcode76	Licheri_5uM_E4_1	Licheri_5uM_E4	Licheri_5uM	E4	1	11041.0	10915.0	98.9	126.0	1.1	834	2255	1601	1832	2539	839	435	580
barcode77	Licheri_5uM_E5_1	Licheri_5uM_E5	Licheri_5uM	E5	1	11067.0	10991.0	99.3	76.0	0.7	766	2478	1531	1992	2599	663	415	547
barcode78	Licheri_5uM_E6_1	Licheri_5uM_E6	Licheri_5uM	E6	1	11010.0	10944.0	99.4	66.0	0.6	745	2666	1757	2328	1939	536	406	567
barcode79	Zhou_3P_E4_3	Zhou_3P_E4	Zhou_3P	E4	3	11029.0	10732.0	97.3	297.0	2.7	823	4853	1314	1476	1616	348	104	198
barcode81	Licheri_5uM_E1_2	Licheri_5uM_E1	Licheri_5uM	E1	2	11028.0	10866.0	98.5	162.0	1.5	840	2392	1550	1647	2920	650	325	542
barcode82	Licheri_5uM_E2_2	Licheri_5uM_E2	Licheri_5uM	E2	2	11067.0	10902.0	98.5	165.0	1.5	948	2230	1540	1663	2772	721	438	590
