barcode	protocol	dilution	B_replicate	total_reads	total_assembled	non_virus_reads	sample	HA	MP	NA	NP	NS	PA	PB1	PB2
barcode79	Zhou_3P	E4	3	8233	8111	122	barcode79	585.0	3702	985	1136	1179	242	100.0	182
barcode81	Licheri_5uM	E1	2	8306	8252	54	barcode81	615.0	1890	1096	1269	2223	494	254.0	411
barcode82	Licheri_5uM	E2	2	8332	8266	66	barcode82	724.0	1744	1118	1259	2184	511	298.0	428
barcode83	Licheri_5uM	E3	2	8312	8276	36	barcode83	669.0	1786	1136	1270	2090	530	341.0	454
barcode84	Licheri_5uM	E4	2	8291	8231	60	barcode84	487.0	1709	1226	1298	2071	611	371.0	458
barcode85	Licheri_5uM	E5	2	8360	8328	32	barcode85	539.0	1538	1379	1428	1920	734	307.0	483
barcode86	Licheri_5uM	E6	2	8408	8374	34	barcode86	493.0	1900	1341	2047	1841	359	120.0	273
barcode87	Zhou_3P	E5	3	8359	8123	236	barcode87	596.0	3775	977	1036	1300	185	85.0	169
barcode89	Licheri_5uM	E1	3	8341	8271	70	barcode89	622.0	1845	1162	1301	2255	448	229.0	409
barcode90	Licheri_5uM	E2	3	8343	8272	71	barcode90	648.0	1793	1081	1364	2283	449	270.0	384
barcode91	Licheri_5uM	E3	3	8252	8205	47	barcode91	651.0	1627	1189	1346	2159	517	279.0	437
barcode92	Licheri_5uM	E4	3	8321	8282	39	barcode92	547.0	1555	1259	1415	2147	604	300.0	455
barcode93	Licheri_5uM	E5	3	8358	8321	37	barcode93	300.0	1503	1210	1567	2122	760	385.0	474
barcode94	Licheri_5uM	E6	3	8463	8413	50	barcode94	567.0	1288	1732	857	2251	1056	71.0	591
barcode95	Zhou_3P	E6	3	8361	8187	174	barcode95	1036.0	3800	880	940	859	258	84.0	330
